	sample_name_R	DBS_LIV_A	DBS_LIV_B	DBS_LIV_C	DBS_LIV_D	DBS_LIV_E	DBS_LIV_F
1	5FU.PATIENT10.LIVN.CLONE1	1.88265371271755	1.22563100373909	3.23991824876726	2.27937544627428	4.25760958019655	1.13041202808133
2	5FU.PATIENT10.LIVN.CLONE4	3.97382214783319	1.11582909545169e-07	3.54601226705171	4.84498327643849	4.21321204667802	6.43757015088552
3	5FU.PATIENT11.LIVN.CLONE4	1.13816726411955	0.000261911311407586	2.30275075397837	2.39824555149775e-07	9.57295121908453	0.00146862988564417
4	5FU.PATIENT14.LIVN.CLONE1	3.1310158719072	0.000229391134517551	1.09938238947656	2.99310914231788	12.7918631740668	4.18755093904747e-09
5	5FU.PATIENT6.LivN.CLONE2	9.99981834112785	1.04800149654549	3.00406044804167	0.973033541059142	7.9771959231658	4.01349027555118
6	5FU.PATIENT6.LivN.CLONE5	6.81306658073388	3.14027963229868e-13	4.72450993552222	3.27754650448086	9.52685967676163	2.67361732715934
7	5FU.PATIENT7.LivN.CLONE1	1.00384101322185	0.000137399447220168	4.00561014977869	1.9996019500427	5.00640951766487	3.13171007111132e-13
8	5FU.PATIENT7.LivN.CLONE4	0.00039198831427713	0.000307426873494599	0.00623112821700056	1.9631952473245	6.89257520005187	2.15289898251405
9	5FU.PATIENT8.LivN.CLONE13	4.00796755213583	0.000119047727027579	3.00244716410368	1.00384970314506	4.89510796207454	1.106108597287
10	5FU.PATIENT8.LivN.CLONE15	5.01100727978469	0.000160607094886605	2.47477064867957	2.52730196423285	1.00235951274545	3.13171007111132e-13
11	5FU.PATIENT9.LivN.CLONE3	3.13107091533212	0.000202683768836684	1.68446355849777	2.43754328438085	12.7623195437186	3.13171007111132e-13
12	c080216DCLONE2	1.99996158198359	0.000140627190108885	1.00402559824179	6.99062589608562	7.60104829812263	6.41979794096302
13	c080216DCLONE3	7.4298362812416	1.03612779394905	3.06379246101292e-13	1.97580462067513	5.91877494008892	2.65505634276751
