	sample_name_R	indel_LIV_A	indel_LIV_B
1	5FU.PATIENT10.LIVN.CLONE1	25.2874425369437	100.729178629138
2	5FU.PATIENT10.LIVN.CLONE4	17.9633819613676	156.053324718015
3	5FU.PATIENT11.LIVN.CLONE4	27.4453421701814	90.5712604626916
4	5FU.PATIENT14.LIVN.CLONE1	15.1532401707768	149.863469583565
5	5FU.PATIENT6.LivN.CLONE2	0.00947327867776481	225.007370722083
6	5FU.PATIENT6.LivN.CLONE5	9.71779870641435	227.299013963948
7	5FU.PATIENT7.LivN.CLONE1	11.3175650762295	163.699173044086
8	5FU.PATIENT7.LivN.CLONE4	6.83095542855332	138.185770648631
9	5FU.PATIENT8.LivN.CLONE13	37.0242983608976	92.9922735325022
10	5FU.PATIENT8.LivN.CLONE15	21.4844538401732	94.5321738513759
11	5FU.PATIENT9.LivN.CLONE3	8.51312220197105	160.503622220953
12	c080216DCLONE2	15.9955127085837	215.021264779444
13	c080216DCLONE3	16.2926711851611	161.724047463836
14	c110116DCLONE2	8.3439020205644	212.672899572441
15	c150216DCLONE2	73.9569763763203	23.0593910276728
16	c180516DCLONE6	19.2397941250946	197.776953360052
17	C30913DClone10	31.4137466729829	78.6028291567635
18	C30913DClone12	39.3107397747787	69.7057988989852
19	C30913DClone13	80.4429308077526	74.5734698745652
20	Healthy15CLONE1	19.7510069900959	86.2656177737889
21	Healthy15CLONE2	8.7012442731047	85.3154179485172
22	Healthy16CLONE1	38.6851757165309	178.331482947142
23	Healthy17CLONE10	7.51090338945551	141.505823920143
24	Healthy17CLONE3	25.1764995728736	170.840198019176
25	Healthy17CLONE4	76.4159874127762	240.600607362318
26	LiverC150216DHealthyPO	271.006548246456	0.00910779951128059
27	LiverC150216DHealthyPOA	196.668334587862	28.3476111260761
