	sample_name_R	DBS_COL_A	DBS_COL_B	DBS_COL_C	DBS_COL_D	DBS_COL_E	DBS_COL_F
1	5FU.PATIENT1.N.CLONE1	0.00734703618903804	49.2081896181163	0.000262684632015204	2.52004056044584	4.27806751723259	0.00219015508128859
2	5FU.PATIENT1.N.CLONE2	2.96356691319643e-13	31.462131598491	6.77394467467399e-05	1.21154070257164	3.56772648470925e-13	8.34218538621507
3	5FU.PATIENT12.COLN.CLONE4	2.96356691319643e-13	43.6662361442156	0.000263415712911046	3.00642378336498	1.34230870273665	0.000806196106565818
4	5FU.PATIENT13.COLN.CLONE1	0.157590474768626	92.5195971301779	3.13816517504497e-13	1.80566315414092	16.7843634417737	5.74933380239235
5	5FU.PATIENT13.COLN.CLONE2	10.2731775273817	41.7092386688314	6.35274914024043e-05	3.20705215590831e-13	0.000424828309622474	5.03313377385848
6	5FU.PATIENT2.N.CLONE1	9.00369803912642	18.2667912619584	3.15661064519763e-07	8.00837285173238	20.7962066050591	10.9406017396992
7	5FU.PATIENT2.N.CLONE2	13.697725962395	51.5429228382871	2.26453395615008e-05	10.625518491197	15.1388527052238	0.0109679343965613
8	5FU.PATIENT2.N.CLONE3	0.396393411691863	38.5761434111953	0.00011847904018386	13.3891132500043	16.6540853970122	3.23916816732829e-13
9	5FU.PATIENT2.N.CLONE6	6.93592659158703	11.6225633257378	9.56384872988831e-05	4.85819869933981	13.573721288179	7.02514007277905
10	5FU.PATIENT3.N.CLONE2	6.84295669399566	1.4790371129289	1.21215053254598	1.83796140620385	5.88763518121581	7.75583865604173
11	5FU.PATIENT3.N.CLONE4	7.77794884400488	3.38763663372561e-13	0.000145383895452116	1.06784837800447	5.23256428413219	7.93706453755991
12	5FU.PATIENT4.N.CLONE1	2.96356691319643e-13	23.4176183493449	0.000213731397284687	6.79922134484652	5.29911843101552	0.499603957055559
13	5FU.PATIENT4.N.CLONE2	6.04829090911784	30.2391876234017	0.000199700839871999	4.62391650331927	5.10427053839268	3.23916816732829e-13
14	5FU.PATIENT5.N.CLONE2	2.96356691319643e-13	17.7062182405071	0.00023982694172074	7.49949157060463	2.80976221126787	3.23916816732829e-13
15	5FU.PATIENT5.N.CLONE3	0.757212469399524	15.909823361469	0.000336812451401653	2.34402327186294	3.56772648470925e-13	0.00435157486983761
16	EGAF00000827138	3.00581010592551	0.00037231861463519	0.000342438292837512	0.000278502541568462	2.00443684191436	1.00435320391989
17	EGAF00000827139	3.0064197640352	0.0631273779064183	0.000272376315392979	1.09100652183858	0.949194974450626	2.90556384227521
18	EGAF00000827140	2.27789468149606	0.000146977554118638	0.000250804137561585	1.15817073216695	3.00203263791578	3.57708468375604
19	EGAF00000827141	3.80900732492833	0.000347845609738343	0.000350034097604071	0.000262150919564599	2.20149365129626	1.00413128150977
20	EGAF00000827249	2.96356691319643e-13	1.3654842245868	0.000471523310250703	1.91784018446627	4.73164816283771	0.000143433978980757
21	EGAF00000860183	2.96356691319643e-13	2.94185105458649	0.000377091181975752	1.60129053812234	2.46010133676053	0.0119915737436136
